,Harbor,Date,isKorean,Full_10,Empty_10,Full_20,Empty_20,Full_40,Empty_40,Full_other,Empty_other,R/T
122,"Pyeongtaek, Dangjin",2018-04-01,TRUE,0,0,2274,915,2108,149,0,0,147436
123,"Pyeongtaek, Dangjin",2018-04-01,FALSE,0,0,13443,9895,9725,4724,0,4,753974
124,"Pyeongtaek, Dangjin",2018-05-01,TRUE,0,0,2546,946,2609,214,0,0,162996
125,"Pyeongtaek, Dangjin",2018-05-01,FALSE,0,0,13606,9795,9953,4416,0,0,1096487
126,"Pyeongtaek, Dangjin",2018-06-01,TRUE,0,0,3168,1394,2349,163,0,0,170927
127,"Pyeongtaek, Dangjin",2018-06-01,FALSE,0,0,12001,8842,9002,3697,0,0,766729
128,"Pyeongtaek, Dangjin",2018-07-01,TRUE,0,0,3291,1645,2991,442,0,0,198046
129,"Pyeongtaek, Dangjin",2018-07-01,FALSE,0,0,12861,9420,10143,4149,0,0,727282
130,"Pyeongtaek, Dangjin",2018-08-01,TRUE,0,0,3020,1547,2449,459,0,0,170793
131,"Pyeongtaek, Dangjin",2018-08-01,FALSE,0,0,10720,7818,8771,3094,0,0,653476
132,"Pyeongtaek, Dangjin",2018-09-01,TRUE,0,0,3977,2956,3655,533,0,0,246721
133,"Pyeongtaek, Dangjin",2018-09-01,FALSE,0,0,11136,7952,10033,5003,0,0,673981
134,"Pyeongtaek, Dangjin",2018-10-01,TRUE,0,0,3393,2591,2907,414,0,0,211049
135,"Pyeongtaek, Dangjin",2018-10-01,FALSE,0,0,11856,8425,10611,4080,0,0,715373
136,"Pyeongtaek, Dangjin",2018-11-01,TRUE,0,0,3763,2842,2949,739,0,0,215474
137,"Pyeongtaek, Dangjin",2018-11-01,FALSE,0,0,13047,9525,10935,4532,0,0,753812
138,"Pyeongtaek, Dangjin",2018-12-01,TRUE,0,0,3933,2168,3113,778,0,0,218349
139,"Pyeongtaek, Dangjin",2018-12-01,FALSE,0,0,11353,7981,10064,4406,0,0,712141
140,"Pyeongtaek, Dangjin",2019-01-01,TRUE,0,0,3453,1782,3325,612,0,0,218876
141,"Pyeongtaek, Dangjin",2019-01-01,FALSE,0,0,11119,8046,9764,4561,0,0,659416
142,"Pyeongtaek, Dangjin",2019-02-01,TRUE,0,0,2442,1245,2229,212,0,0,146163
143,"Pyeongtaek, Dangjin",2019-02-01,FALSE,0,0,4831,3497,6012,3397,0,5,350976
144,"Pyeongtaek, Dangjin",2019-03-01,TRUE,0,0,4040,1919,3779,626,0,0,476834
145,"Pyeongtaek, Dangjin",2019-03-01,FALSE,0,0,12282,7401,9588,4414,0,0,676357
146,"Pyeongtaek, Dangjin",2019-04-01,TRUE,0,0,4318,1677,3529,307,0,0,269726
147,"Pyeongtaek, Dangjin",2019-04-01,FALSE,0,0,12580,9287,10251,4421,0,1,871616
148,"Pyeongtaek, Dangjin",2019-05-01,TRUE,0,0,4371,2945,3790,488,0,0,263838
149,"Pyeongtaek, Dangjin",2019-05-01,FALSE,0,0,10425,7966,9462,4797,0,0,731051
150,"Pyeongtaek, Dangjin",2019-06-01,TRUE,0,0,3858,1942,3382,629,0,0,231522
151,"Pyeongtaek, Dangjin",2019-06-01,FALSE,0,0,11126,8963,8872,4973,0,0,663766
152,"Pyeongtaek, Dangjin",2019-07-01,TRUE,0,0,3482,1702,3800,960,0,0,249639
153,"Pyeongtaek, Dangjin",2019-07-01,FALSE,0,0,12169,9499,9720,5147,0,0,689607
154,"Pyeongtaek, Dangjin",2019-08-01,TRUE,0,0,3193,1767,3167,820,0,0,205544
155,"Pyeongtaek, Dangjin",2019-08-01,FALSE,0,0,10537,7621,8743,4564,0,0,608167
156,"Pyeongtaek, Dangjin",2019-09-01,TRUE,0,0,3070,1333,3025,805,0,0,200573
157,"Pyeongtaek, Dangjin",2019-09-01,FALSE,0,0,10540,6610,9461,3956,0,8,638352
158,"Pyeongtaek, Dangjin",2019-10-01,TRUE,0,0,2450,1934,2599,683,0,0,165351
159,"Pyeongtaek, Dangjin",2019-10-01,FALSE,0,0,12548,8154,12214,5209,0,5,811155
160,"Pyeongtaek, Dangjin",2019-11-01,TRUE,0,0,2609,1564,2197,1322,0,0,156264
161,"Pyeongtaek, Dangjin",2019-11-01,FALSE,0,0,12499,8953,11690,4096,0,0,780793
162,"Pyeongtaek, Dangjin",2019-12-01,TRUE,0,0,2915,1780,2789,573,0,0,191911
163,"Pyeongtaek, Dangjin",2019-12-01,FALSE,0,0,13021,8901,11614,4745,0,0,795473
164,"Pyeongtaek, Dangjin",2020-01-01,TRUE,0,0,2442,1019,2608,1223,0,0,169773
165,"Pyeongtaek, Dangjin",2020-01-01,FALSE,0,0,10283,7437,10624,3915,0,0,687213
166,"Pyeongtaek, Dangjin",2020-02-01,TRUE,0,0,1360,1244,1012,552,0,0,69536
